Model,RMSE,MAE,R2 Score
Baseline,0.04578652898195542,0.03616253503033598,-0.1574250237491579
Random Forest,0.009898250487053782,0.004749218702279262,0.9442382145947383
XGBoost,0.010222793497344559,0.0050391901012041595,0.9405216425030214
